date,forecasted_shipments,forecasted_revenue,forecasted_weight,confidence_lower,confidence_upper
2026-06-03 10:49:56.073874,966,101145.53568808305,48607414.91988345,799,1081
2026-06-04 10:49:56.073874,993,90859.0667721465,43535954.71193201,799,1081
2026-06-05 10:49:56.073874,823,96602.38935097039,46019534.947123714,799,1081
2026-06-06 10:49:56.073874,953,93010.50865881096,51035637.3955055,799,1081
2026-06-07 10:49:56.073874,941,97052.97705505972,49186896.96518772,799,1081
2026-06-08 10:49:56.073874,1001,93262.66723808715,47041088.209693976,799,1081
2026-06-09 10:49:56.073874,837,92233.08724357888,49270102.67557002,799,1081
2026-06-10 10:49:56.073874,1003,96762.3152958597,51828700.00697179,799,1081
2026-06-11 10:49:56.073874,965,88331.42157344244,45343750.20227353,799,1081
2026-06-12 10:49:56.073874,876,97984.7482623699,44648299.19083789,799,1081
2026-06-13 10:49:56.073874,974,95365.88841154329,47102941.193309925,799,1081
2026-06-14 10:49:56.073874,963,88869.0668762349,49658002.74526964,799,1081
2026-06-15 10:49:56.073874,971,92061.08417870407,47981054.55785041,799,1081
2026-06-16 10:49:56.073874,905,94521.01034018517,50583300.4856335,799,1081
2026-06-17 10:49:56.073874,1019,87967.51607832403,46317778.14628757,799,1081
2026-06-18 10:49:56.073874,977,90369.69737940522,45588895.42899336,799,1081
2026-06-19 10:49:56.073874,918,95692.50711423048,49350314.89405471,799,1081
2026-06-20 10:49:56.073874,998,93206.36059419707,42593090.257170044,799,1081
2026-06-21 10:49:56.073874,853,96447.44842019014,51604595.81838221,799,1081
2026-06-22 10:49:56.073874,992,96841.41571482783,50141335.833387345,799,1081
2026-06-23 10:49:56.073874,1016,91026.52869562796,46241827.27336866,799,1081
2026-06-24 10:49:56.073874,905,92731.78967771887,49604274.08734691,799,1081
2026-06-25 10:49:56.073874,1048,99944.05030955547,43913082.980678484,799,1081
2026-06-26 10:49:56.073874,918,92156.0342335225,46179556.14041874,799,1081
2026-06-27 10:49:56.073874,929,81796.35656886637,45581858.59040158,799,1081
2026-06-28 10:49:56.073874,972,91802.316539033,48330365.91741661,799,1081
2026-06-29 10:49:56.073874,941,99845.25122934335,50311439.2418814,799,1081
2026-06-30 10:49:56.073874,946,98211.59788305848,50554460.859083846,799,1081
2026-07-01 10:49:56.073874,1001,88969.11978175332,45654163.07143751,799,1081
2026-07-02 10:49:56.073874,999,100704.03151247646,46038298.835678935,799,1081
