truck_id,month,trips_completed,total_miles,total_revenue,average_mpg,maintenance_events,maintenance_cost,downtime_hours,utilization_rate
TRK00001,2022-01-01,22,39269,84792.02,6.78,2,4380.98,1970-01-01 00:00:00.000000063,0.71
TRK00001,2022-02-01,27,40787,88809.05,6.23,0,0.0,1970-01-01 00:00:00.000000000,0.964
TRK00001,2022-03-01,34,57422,120453.71,6.49,0,0.0,1970-01-01 00:00:00.000000000,1.097
TRK00001,2022-04-01,20,34428,73531.28,6.5,2,3548.15,1970-01-01 00:00:00.000000071,0.667
TRK00001,2022-05-01,16,20851,40791.53,6.38,1,1969.42,1970-01-01 00:00:00.000000043,0.516
TRK00001,2022-06-01,31,47085,101659.37,6.46,0,0.0,1970-01-01 00:00:00.000000000,1.033
TRK00001,2022-07-01,28,38038,84143.99,6.54,0,0.0,1970-01-01 00:00:00.000000000,0.903
TRK00001,2022-08-01,27,35902,82253.78,6.3,1,382.57,1970-01-01 00:00:00.000000020,0.871
TRK00001,2022-09-01,24,40898,88581.76,6.56,1,3372.41,1970-01-01 00:00:00.000000046,0.8
TRK00001,2022-10-01,37,51364,108130.03,6.42,2,1744.63,1970-01-01 00:00:00.000000058,1.194
TRK00001,2022-11-01,27,40313,79626.57,6.45,1,2103.04,1970-01-01 00:00:00.000000025,0.9
TRK00001,2022-12-01,26,34882,71982.89,6.38,0,0.0,1970-01-01 00:00:00.000000000,0.839
TRK00001,2023-01-01,25,39588,84543.89,6.25,0,0.0,1970-01-01 00:00:00.000000000,0.806
TRK00001,2023-02-01,23,28620,57588.15,6.58,0,0.0,1970-01-01 00:00:00.000000000,0.821
TRK00001,2023-03-01,25,36717,81060.18,6.37,0,0.0,1970-01-01 00:00:00.000000000,0.806
TRK00001,2023-04-01,23,35740,78165.77,6.54,3,6275.59,1970-01-01 00:00:00.000000098,0.767
TRK00001,2023-05-01,28,34020,75571.8,6.46,0,0.0,1970-01-01 00:00:00.000000000,0.903
TRK00001,2023-06-01,31,39469,82425.94,6.56,0,0.0,1970-01-01 00:00:00.000000000,1.033
TRK00001,2023-07-01,23,32251,62874.89,6.22,3,7732.69,1970-01-01 00:00:00.000000108,0.742
TRK00001,2023-08-01,23,31928,63571.27,6.44,1,2777.43,1970-01-01 00:00:00.000000046,0.742
TRK00001,2023-09-01,24,37859,83909.21,6.46,1,3851.64,1970-01-01 00:00:00.000000003,0.8
TRK00001,2023-10-01,36,51677,110826.94,6.39,0,0.0,1970-01-01 00:00:00.000000000,1.161
TRK00001,2023-11-01,29,43564,97542.87,6.51,1,366.3,1970-01-01 00:00:00.000000027,0.967
TRK00001,2023-12-01,25,30017,63035.89,6.48,0,0.0,1970-01-01 00:00:00.000000000,0.806
TRK00001,2024-01-01,26,35600,73755.28,6.53,1,2770.74,1970-01-01 00:00:00.000000006,0.839
TRK00001,2024-02-01,19,31485,70451.49,6.45,0,0.0,1970-01-01 00:00:00.000000000,0.655
TRK00001,2024-03-01,34,47000,99668.63,6.4,0,0.0,1970-01-01 00:00:00.000000000,1.097
TRK00001,2024-04-01,27,28199,60914.8,6.79,0,0.0,1970-01-01 00:00:00.000000000,0.9
TRK00001,2024-05-01,31,47893,107913.09,6.64,0,0.0,1970-01-01 00:00:00.000000000,1.0
TRK00001,2024-06-01,21,26084,59538.47,6.62,0,0.0,1970-01-01 00:00:00.000000000,0.7
TRK00001,2024-07-01,27,29263,56683.34,6.53,0,0.0,1970-01-01 00:00:00.000000000,0.871
TRK00001,2024-08-01,26,35006,74743.74,6.49,1,434.75,1970-01-01 00:00:00.000000031,0.839
TRK00001,2024-09-01,25,35545,82185.36,6.69,1,4072.16,1970-01-01 00:00:00.000000013,0.833
TRK00001,2024-10-01,37,51146,106657.86,6.6,1,2643.09,1970-01-01 00:00:00.000000036,1.194
TRK00001,2024-11-01,20,33025,69796.7,6.59,0,0.0,1970-01-01 00:00:00.000000000,0.667
TRK00001,2024-12-01,24,33462,68156.63,6.51,1,3350.4,1970-01-01 00:00:00.000000012,0.774
TRK00002,2022-01-01,42,61156,130767.57,6.65,0,0.0,1970-01-01 00:00:00.000000000,1.355
TRK00002,2022-02-01,23,30647,69273.33,6.42,1,1613.25,1970-01-01 00:00:00.000000010,0.821
TRK00002,2022-03-01,22,33594,75977.97,6.44,1,2223.95,1970-01-01 00:00:00.000000046,0.71
TRK00002,2022-04-01,26,33536,66089.72,6.48,1,3728.02,1970-01-01 00:00:00.000000008,0.867
TRK00002,2022-05-01,21,32650,71220.61,6.41,3,7622.07,1970-01-01 00:00:00.000000089,0.677
TRK00002,2022-06-01,19,28286,63345.54,6.57,0,0.0,1970-01-01 00:00:00.000000000,0.633
TRK00002,2022-07-01,20,30834,59881.91,6.34,1,2000.87,1970-01-01 00:00:00.000000013,0.645
TRK00002,2022-08-01,36,41510,84492.83,6.57,0,0.0,1970-01-01 00:00:00.000000000,1.161
TRK00002,2022-09-01,22,28038,65368.34,6.54,0,0.0,1970-01-01 00:00:00.000000000,0.733
TRK00002,2022-10-01,27,39770,83855.05,6.6,0,0.0,1970-01-01 00:00:00.000000000,0.871
TRK00002,2022-11-01,24,36504,75385.02,6.47,0,0.0,1970-01-01 00:00:00.000000000,0.8
TRK00002,2022-12-01,22,30830,69982.18,6.57,0,0.0,1970-01-01 00:00:00.000000000,0.71
TRK00002,2023-01-01,34,56129,118397.72,6.46,0,0.0,1970-01-01 00:00:00.000000000,1.097
TRK00002,2023-02-01,25,35364,71911.69,6.53,0,0.0,1970-01-01 00:00:00.000000000,0.893
TRK00002,2023-03-01,21,26654,56009.13,6.63,2,731.97,1970-01-01 00:00:00.000000052,0.677
TRK00002,2023-04-01,32,52262,116550.1,6.46,1,980.82,1970-01-01 00:00:00.000000033,1.067
TRK00002,2023-05-01,17,20344,43464.45,6.31,1,2827.87,1970-01-01 00:00:00.000000014,0.548
TRK00002,2023-06-01,22,30900,62063.12,6.45,0,0.0,1970-01-01 00:00:00.000000000,0.733
TRK00002,2023-07-01,26,36539,72646.32,6.61,2,3702.81,1970-01-01 00:00:00.000000068,0.839
TRK00002,2023-08-01,24,30655,68059.97,6.31,2,6757.19,1970-01-01 00:00:00.000000084,0.774
TRK00002,2023-09-01,24,35441,76262.33,6.49,2,3151.84,1970-01-01 00:00:00.000000068,0.8
TRK00002,2023-10-01,24,28484,59974.85,6.34,1,1700.03,1970-01-01 00:00:00.000000027,0.774
TRK00002,2023-11-01,26,39962,89083.48,6.59,0,0.0,1970-01-01 00:00:00.000000000,0.867
TRK00002,2023-12-01,17,19618,44586.15,6.46,1,1781.39,1970-01-01 00:00:00.000000015,0.548
TRK00002,2024-01-01,24,38067,78469.8,6.37,0,0.0,1970-01-01 00:00:00.000000000,0.774
TRK00002,2024-02-01,23,35659,73738.14,6.37,0,0.0,1970-01-01 00:00:00.000000000,0.793
TRK00002,2024-03-01,24,34957,77231.58,6.48,0,0.0,1970-01-01 00:00:00.000000000,0.774
TRK00002,2024-04-01,28,35800,73440.4,6.68,1,2513.94,1970-01-01 00:00:00.000000015,0.933
TRK00002,2024-05-01,23,36048,75950.57,6.49,0,0.0,1970-01-01 00:00:00.000000000,0.742
TRK00002,2024-06-01,24,33994,73204.73,6.59,2,5552.68,1970-01-01 00:00:00.000000046,0.8
TRK00002,2024-07-01,26,31219,68058.08,6.66,1,1873.34,1970-01-01 00:00:00.000000003,0.839
TRK00002,2024-08-01,27,37770,78359.28,6.43,1,1203.86,1970-01-01 00:00:00.000000026,0.871
TRK00002,2024-09-01,21,33552,68864.64,6.49,1,857.26,1970-01-01 00:00:00.000000031,0.7
TRK00002,2024-10-01,27,43121,92349.64,6.62,1,651.78,1970-01-01 00:00:00.000000005,0.871
TRK00002,2024-11-01,26,40747,89458.61,6.3,0,0.0,1970-01-01 00:00:00.000000000,0.867
TRK00002,2024-12-01,18,29931,68587.01,6.55,1,3394.1,1970-01-01 00:00:00.000000005,0.581
TRK00004,2022-01-01,28,37927,83370.5,6.48,1,3343.56,1970-01-01 00:00:00.000000026,0.903
TRK00004,2022-02-01,22,33460,68948.67,6.47,0,0.0,1970-01-01 00:00:00.000000000,0.786
TRK00004,2022-03-01,25,36185,73593.26,6.52,0,0.0,1970-01-01 00:00:00.000000000,0.806
TRK00004,2022-04-01,26,41107,85010.17,6.53,2,1334.9,1970-01-01 00:00:00.000000037,0.867
TRK00004,2022-05-01,33,49633,112198.71,6.56,0,0.0,1970-01-01 00:00:00.000000000,1.065
TRK00004,2022-06-01,27,41404,89945.6,6.69,0,0.0,1970-01-01 00:00:00.000000000,0.9
TRK00004,2022-07-01,17,26110,55064.82,6.51,1,572.32,1970-01-01 00:00:00.000000021,0.548
TRK00004,2022-08-01,31,32082,69905.4,6.49,2,6535.65,1970-01-01 00:00:00.000000025,1.0
TRK00004,2022-09-01,30,47748,101681.36,6.35,1,2480.51,1970-01-01 00:00:00.000000027,1.0
TRK00004,2022-10-01,28,40297,90604.82,6.63,0,0.0,1970-01-01 00:00:00.000000000,0.903
TRK00004,2022-11-01,25,40466,92500.96,6.48,2,3289.81,1970-01-01 00:00:00.000000039,0.833
TRK00004,2022-12-01,33,46900,96975.93,6.5,1,1650.3,1970-01-01 00:00:00.000000043,1.065
TRK00004,2023-01-01,28,34858,73531.53,6.36,0,0.0,1970-01-01 00:00:00.000000000,0.903
TRK00004,2023-02-01,21,31283,74902.06,6.45,0,0.0,1970-01-01 00:00:00.000000000,0.75
TRK00004,2023-03-01,26,39411,81925.77,6.63,1,428.91,1970-01-01 00:00:00.000000046,0.839
TRK00004,2023-04-01,25,25716,53697.34,6.62,1,2456.24,1970-01-01 00:00:00.000000024,0.833
TRK00004,2023-05-01,32,57422,119488.44,6.6,0,0.0,1970-01-01 00:00:00.000000000,1.032
TRK00004,2023-06-01,21,27965,60210.6,6.66,1,2416.12,1970-01-01 00:00:00.000000003,0.7
TRK00004,2023-07-01,18,31344,66184.76,6.45,0,0.0,1970-01-01 00:00:00.000000000,0.581
TRK00004,2023-08-01,24,37373,79622.51,6.42,0,0.0,1970-01-01 00:00:00.000000000,0.774
TRK00004,2023-09-01,29,40920,83425.25,6.4,0,0.0,1970-01-01 00:00:00.000000000,0.967
TRK00004,2023-10-01,21,31620,62674.82,6.37,2,4222.98,1970-01-01 00:00:00.000000047,0.677
TRK00004,2023-11-01,25,41778,90194.95,6.64,0,0.0,1970-01-01 00:00:00.000000000,0.833
TRK00004,2023-12-01,33,35696,74330.29,6.47,0,0.0,1970-01-01 00:00:00.000000000,1.065
TRK00004,2024-01-01,27,38413,86241.35,6.42,1,1665.55,1970-01-01 00:00:00.000000007,0.871
TRK00004,2024-02-01,25,35218,78506.22,6.35,0,0.0,1970-01-01 00:00:00.000000000,0.862
TRK00004,2024-03-01,28,33520,66860.27,6.51,0,0.0,1970-01-01 00:00:00.000000000,0.903
TRK00004,2024-04-01,25,33327,70535.88,6.47,1,716.3,1970-01-01 00:00:00.000000038,0.833
TRK00004,2024-05-01,25,28116,65294.04,6.35,0,0.0,1970-01-01 00:00:00.000000000,0.806
TRK00004,2024-06-01,25,33367,71651.92,6.6,1,3278.64,1970-01-01 00:00:00.000000037,0.833
TRK00004,2024-07-01,25,26675,56318.75,6.37,2,842.36,1970-01-01 00:00:00.000000015,0.806
TRK00004,2024-08-01,37,50168,105034.44,6.56,1,2791.17,1970-01-01 00:00:00.000000019,1.194
TRK00004,2024-09-01,23,35262,78224.24,6.56,0,0.0,1970-01-01 00:00:00.000000000,0.767
TRK00004,2024-10-01,19,30988,63573.36,6.5,1,536.5,1970-01-01 00:00:00.000000022,0.613
TRK00004,2024-11-01,22,31761,72145.31,6.41,0,0.0,1970-01-01 00:00:00.000000000,0.733
TRK00004,2024-12-01,20,24027,49227.83,6.57,0,0.0,1970-01-01 00:00:00.000000000,0.645
TRK00006,2022-01-01,26,32968,69722.75,6.5,4,6221.44,1970-01-01 00:00:00.000000080,0.839
TRK00006,2022-02-01,21,25620,53766.43,6.37,1,4054.27,1970-01-01 00:00:00.000000036,0.75
TRK00006,2022-03-01,15,20953,44381.54,6.44,1,1555.95,1970-01-01 00:00:00.000000006,0.484
TRK00006,2022-04-01,16,23317,53382.61,6.8,0,0.0,1970-01-01 00:00:00.000000000,0.533
TRK00006,2022-05-01,33,49198,108100.61,6.51,0,0.0,1970-01-01 00:00:00.000000000,1.065
TRK00006,2022-06-01,23,35677,82074.57,6.53,1,2078.65,1970-01-01 00:00:00.000000013,0.767
TRK00006,2022-07-01,20,26408,56440.41,6.39,1,1402.01,1970-01-01 00:00:00.000000035,0.645
TRK00006,2022-08-01,28,35358,76355.54,6.49,0,0.0,1970-01-01 00:00:00.000000000,0.903
TRK00006,2022-09-01,27,34740,72173.7,6.45,1,1757.36,1970-01-01 00:00:00.000000015,0.9
TRK00006,2022-10-01,17,28172,66103.77,6.58,1,483.94,1970-01-01 00:00:00.000000031,0.548
TRK00006,2022-11-01,31,38048,84779.36,6.36,0,0.0,1970-01-01 00:00:00.000000000,1.033
TRK00006,2022-12-01,22,34618,80719.68,6.48,3,6105.66,1970-01-01 00:00:00.000000078,0.71
TRK00006,2023-01-01,23,38492,80052.28,6.42,0,0.0,1970-01-01 00:00:00.000000000,0.742
TRK00006,2023-02-01,27,45731,101620.27,6.48,2,2811.62,1970-01-01 00:00:00.000000027,0.964
TRK00006,2023-03-01,22,40334,76866.06,6.49,0,0.0,1970-01-01 00:00:00.000000000,0.71
TRK00006,2023-04-01,30,43599,92722.74,6.42,1,1872.47,1970-01-01 00:00:00.000000012,1.0
TRK00006,2023-05-01,20,32047,71277.54,6.67,0,0.0,1970-01-01 00:00:00.000000000,0.645
TRK00006,2023-06-01,22,34836,71505.88,6.54,1,1264.1,1970-01-01 00:00:00.000000018,0.733
TRK00006,2023-07-01,23,30071,65676.25,6.48,1,3364.26,1970-01-01 00:00:00.000000041,0.742
TRK00006,2023-08-01,21,29882,64928.6,6.51,1,937.85,1970-01-01 00:00:00.000000006,0.677
TRK00006,2023-09-01,27,42816,96708.23,6.27,1,3295.74,1970-01-01 00:00:00.000000008,0.9
TRK00006,2023-10-01,24,36531,72574.13,6.47,1,3946.26,1970-01-01 00:00:00.000000037,0.774
TRK00006,2023-11-01,30,39026,86738.25,6.51,0,0.0,1970-01-01 00:00:00.000000000,1.0
TRK00006,2023-12-01,33,44366,91451.34,6.44,0,0.0,1970-01-01 00:00:00.000000000,1.065
TRK00006,2024-01-01,20,31382,69885.62,6.59,0,0.0,1970-01-01 00:00:00.000000000,0.645
TRK00006,2024-02-01,23,34302,77425.85,6.52,0,0.0,1970-01-01 00:00:00.000000000,0.793
TRK00006,2024-03-01,32,44664,104520.82,6.42,0,0.0,1970-01-01 00:00:00.000000000,1.032
TRK00006,2024-04-01,25,27149,57040.26,6.63,0,0.0,1970-01-01 00:00:00.000000000,0.833
TRK00006,2024-05-01,27,39251,84605.04,6.41,1,1457.33,1970-01-01 00:00:00.000000004,0.871
TRK00006,2024-06-01,25,44357,92983.27,6.3,0,0.0,1970-01-01 00:00:00.000000000,0.833
TRK00006,2024-07-01,21,32438,66606.42,6.54,0,0.0,1970-01-01 00:00:00.000000000,0.677
TRK00006,2024-08-01,23,37379,80775.96,6.61,1,578.57,1970-01-01 00:00:00.000000045,0.742
TRK00006,2024-09-01,29,50000,113772.05,6.57,0,0.0,1970-01-01 00:00:00.000000000,0.967
TRK00006,2024-10-01,30,38755,89536.9,6.41,3,7593.35,1970-01-01 00:00:00.000000087,0.968
TRK00006,2024-11-01,18,21162,43025.32,6.49,0,0.0,1970-01-01 00:00:00.000000000,0.6
TRK00006,2024-12-01,24,34904,78246.5,6.39,0,0.0,1970-01-01 00:00:00.000000000,0.774
TRK00007,2022-01-01,24,31441,72815.99,6.37,0,0.0,1970-01-01 00:00:00.000000000,0.774
TRK00007,2022-02-01,24,32029,67176.42,6.59,0,0.0,1970-01-01 00:00:00.000000000,0.857
TRK00007,2022-03-01,30,44195,100749.6,6.55,0,0.0,1970-01-01 00:00:00.000000000,0.968
TRK00007,2022-04-01,24,32654,80247.14,6.4,0,0.0,1970-01-01 00:00:00.000000000,0.8
TRK00007,2022-05-01,23,26257,59988.68,6.49,0,0.0,1970-01-01 00:00:00.000000000,0.742
TRK00007,2022-06-01,28,34816,76339.3,6.57,0,0.0,1970-01-01 00:00:00.000000000,0.933
TRK00007,2022-07-01,33,42964,90528.79,6.57,1,865.08,1970-01-01 00:00:00.000000017,1.065
TRK00007,2022-08-01,24,37571,85586.75,6.57,0,0.0,1970-01-01 00:00:00.000000000,0.774
TRK00007,2022-09-01,19,24920,47404.44,6.46,1,1664.4,1970-01-01 00:00:00.000000007,0.633
TRK00007,2022-10-01,32,51329,111614.78,6.46,0,0.0,1970-01-01 00:00:00.000000000,1.032
TRK00007,2022-11-01,27,35960,70877.15,6.38,0,0.0,1970-01-01 00:00:00.000000000,0.9
TRK00007,2022-12-01,27,39157,85623.25,6.38,1,4284.14,1970-01-01 00:00:00.000000045,0.871
TRK00007,2023-01-01,31,44541,93264.96,6.54,0,0.0,1970-01-01 00:00:00.000000000,1.0
TRK00007,2023-02-01,30,44673,96624.76,6.29,1,1739.69,1970-01-01 00:00:00.000000008,1.071
TRK00007,2023-03-01,25,39316,86998.11,6.59,0,0.0,1970-01-01 00:00:00.000000000,0.806
TRK00007,2023-04-01,24,35219,68362.44,6.25,1,473.43,1970-01-01 00:00:00.000000014,0.8
TRK00007,2023-05-01,25,32763,69506.33,6.68,1,654.5,1970-01-01 00:00:00.000000013,0.806
TRK00007,2023-06-01,24,38901,80901.03,6.47,1,1217.74,1970-01-01 00:00:00.000000022,0.8
TRK00007,2023-07-01,18,24228,52781.78,6.38,0,0.0,1970-01-01 00:00:00.000000000,0.581
TRK00007,2023-08-01,21,23573,49212.34,6.6,2,1966.49,1970-01-01 00:00:00.000000020,0.677
TRK00007,2023-09-01,32,45673,96105.15,6.7,0,0.0,1970-01-01 00:00:00.000000000,1.067
TRK00007,2023-10-01,29,47774,105125.75,6.38,1,1207.5,1970-01-01 00:00:00.000000017,0.935
TRK00007,2023-11-01,34,48869,102079.99,6.33,1,3245.98,1970-01-01 00:00:00.000000041,1.133
TRK00007,2023-12-01,28,46839,108377.14,6.52,1,1247.42,1970-01-01 00:00:00.000000009,0.903
TRK00007,2024-01-01,31,45151,107665.56,6.65,1,617.21,1970-01-01 00:00:00.000000007,1.0
TRK00007,2024-02-01,19,28773,58749.21,6.42,0,0.0,1970-01-01 00:00:00.000000000,0.655
TRK00007,2024-03-01,27,37631,82424.54,6.58,1,1736.08,1970-01-01 00:00:00.000000041,0.871
TRK00007,2024-04-01,18,28653,63881.21,6.31,1,662.53,1970-01-01 00:00:00.000000020,0.6
